"Date","Time","Open","High","Low","Close","Vol","OI"
08/09/2023,16:00,41.16,41.21,39.45,39.71,99715266,0
08/10/2023,16:00,40.66,41.75,39.37,39.89,130277051,0
08/11/2023,16:00,39.03,39.68,38.60,39.09,100786881,0
08/14/2023,16:00,38.83,40.44,38.60,40.39,71276790,0
08/15/2023,16:00,40.07,40.34,38.88,39.15,81276764,0
08/16/2023,16:00,38.92,39.42,37.82,37.85,95110975,0
08/17/2023,16:00,38.25,38.36,36.43,36.57,105116378,0
08/18/2023,16:00,35.53,36.81,35.37,36.40,123500980,0
08/21/2023,16:00,36.87,38.38,36.71,38.16,95743562,0
08/22/2023,16:00,38.97,38.98,37.77,37.99,90393034,0
08/23/2023,16:00,38.35,40.12,38.28,39.78,87727009,0
08/24/2023,16:00,40.88,40.91,37.10,37.16,116198600,0
08/25/2023,16:00,37.43,38.56,36.35,38.04,139144691,0
08/28/2023,16:00,38.95,39.17,38.08,38.89,91320515,0
08/29/2023,16:00,38.80,41.52,38.69,41.37,93747831,0
08/30/2023,16:00,41.43,42.28,41.08,42.06,92979132,0
08/31/2023,16:00,42.04,42.98,42.02,42.44,81121447,0
09/01/2023,16:00,43.21,43.36,41.75,42.29,82529193,0
09/05/2023,16:00,41.97,42.82,41.66,42.40,61889339,0
09/06/2023,16:00,42.14,42.24,40.58,41.28,74029096,0
09/07/2023,16:00,39.74,40.60,39.38,40.38,84311499,0
09/08/2023,16:00,40.31,41.24,40.17,40.50,74847789,0
09/11/2023,16:00,41.49,42.09,40.84,41.88,70856404,0
09/12/2023,16:00,41.34,41.81,40.40,40.54,77762059,0
09/13/2023,16:00,40.58,41.49,40.19,40.94,85424685,0
09/14/2023,16:00,41.50,42.24,40.80,41.90,76189878,0
09/15/2023,16:00,41.45,41.59,39.43,39.75,89919829,0
09/18/2023,16:00,39.43,40.22,39.33,39.84,62399102,0
09/19/2023,16:00,39.41,39.83,38.60,39.60,74370736,0
09/20/2023,16:00,39.77,39.90,37.70,37.75,98019232,0
09/21/2023,16:00,36.55,36.78,35.57,35.60,108410565,0
09/22/2023,16:00,36.13,36.78,35.52,35.63,94090632,0
09/25/2023,16:00,35.31,36.14,35.01,36.10,81269205,0
09/26/2023,16:00,35.31,35.48,34.17,34.49,105339743,0
09/27/2023,16:00,34.81,35.27,33.63,34.70,128435797,0
09/28/2023,16:00,34.39,36.17,34.13,35.54,134072893,0
09/29/2023,16:00,36.58,37.00,35.23,35.62,143429055,0
10/02/2023,16:00,35.67,36.90,35.48,36.47,118231617,0
10/03/2023,16:00,35.71,36.39,34.04,34.54,133269526,0
10/04/2023,16:00,34.78,36.19,34.64,35.94,126379628,0
10/05/2023,16:00,35.89,36.00,34.50,35.56,109003076,0
10/06/2023,16:00,34.65,37.69,34.41,37.35,147448715,0
10/09/2023,16:00,36.61,38.09,36.14,37.90,105483032,0
10/10/2023,16:00,38.01,39.37,37.85,38.52,108054751,0
10/11/2023,16:00,38.94,39.41,38.40,39.34,95855425,0
10/12/2023,16:00,39.47,40.05,38.12,38.88,118254613,0
10/13/2023,16:00,39.09,39.28,36.97,37.41,130093765,0
10/16/2023,16:00,37.82,39.00,37.77,38.67,86576077,0
10/17/2023,16:00,37.52,38.82,36.85,38.30,105193461,0
10/18/2023,16:00,37.47,38.18,36.33,36.68,131582598,0
10/19/2023,16:00,37.15,37.51,35.44,35.70,185025168,0
10/20/2023,16:00,35.52,35.70,34.02,34.09,138861395,0
10/23/2023,16:00,33.68,35.41,33.06,34.39,131799503,0
10/24/2023,16:00,34.90,35.59,34.40,35.36,122537254,0
10/25/2023,16:00,34.63,34.68,32.58,32.77,164181614,0
10/26/2023,16:00,32.38,32.64,30.47,30.86,187023695,0
10/27/2023,16:00,31.58,32.23,30.95,31.30,147351082,0
10/30/2023,16:00,31.95,32.69,31.58,32.31,132152801,0
10/31/2023,16:00,32.32,32.89,31.60,32.78,111461831,0
11/01/2023,16:00,33.00,34.63,32.97,34.47,166317806,0
11/02/2023,16:00,35.76,36.38,35.40,36.30,117067047,0
11/03/2023,16:00,36.70,37.98,36.63,37.58,114330614,0
11/06/2023,16:00,37.81,38.21,37.32,38.01,91799830,0
11/07/2023,16:00,38.35,39.37,37.97,39.08,102251119,0
11/08/2023,16:00,39.20,39.43,38.43,39.15,93980052,0
11/09/2023,16:00,39.34,39.71,38.06,38.22,129182608,0
11/10/2023,16:00,38.75,40.83,38.58,40.77,124790853,0
11/13/2023,16:00,40.25,40.73,39.75,40.40,90215210,0
11/14/2023,16:00,42.47,43.28,42.29,42.94,116776212,0
11/15/2023,16:00,43.62,43.78,42.60,43.06,109216251,0
11/16/2023,16:00,42.76,43.21,42.33,43.13,89022468,0
11/17/2023,16:00,42.88,43.50,42.57,43.16,78934433,0
11/20/2023,16:00,43.15,44.95,43.14,44.70,83291267,0
11/21/2023,16:00,44.09,44.16,43.29,43.89,74137637,0
11/22/2023,16:00,44.57,45.42,44.05,44.40,85929175,0
11/24/2023,16:00,44.25,44.45,43.85,44.18,31987709,0
11/27/2023,16:00,44.01,44.74,43.77,44.05,60928200,0
11/28/2023,16:00,43.80,44.60,43.67,44.40,79174530,0
11/29/2023,16:00,45.24,45.73,44.13,44.24,88761563,0
11/30/2023,16:00,44.30,44.46,42.84,43.87,93197251,0
12/01/2023,16:00,43.49,44.44,42.92,44.24,86468789,0
12/04/2023,16:00,42.91,43.07,41.73,42.98,90571804,0
12/05/2023,16:00,42.31,43.70,42.26,43.29,83770217,0
12/06/2023,16:00,44.28,44.32,42.41,42.52,81500273,0
12/07/2023,16:00,43.48,44.54,43.11,44.30,81377726,0
12/08/2023,16:00,43.65,45.00,43.59,44.83,90894450,0
12/11/2023,16:00,44.67,46.08,44.60,45.97,75770017,0
12/12/2023,16:00,45.98,47.10,45.57,47.08,71449741,0
12/13/2023,16:00,47.38,49.07,47.10,48.74,115040663,0
12/14/2023,16:00,49.25,49.73,47.55,48.66,101348862,0
12/15/2023,16:00,48.94,49.79,48.70,49.24,78365489,0
12/18/2023,16:00,49.49,50.60,49.37,50.27,58217985,0
12/19/2023,16:00,50.42,51.06,50.36,51.02,60174797,0
12/20/2023,16:00,50.48,51.27,48.46,48.54,88082510,0
12/21/2023,16:00,49.89,50.27,48.94,50.15,74544711,0
12/22/2023,16:00,50.60,50.94,49.64,50.35,66210036,0
12/26/2023,16:00,50.64,51.51,50.62,51.27,43685609,0
12/27/2023,16:00,51.35,51.66,51.02,51.54,55747788,0
12/28/2023,16:00,51.92,52.01,51.27,51.41,42884113,0
12/29/2023,16:00,51.38,51.52,50.00,50.70,67122688,0
01/02/2024,16:00,49.35,49.43,47.27,48.13,88135330,0
01/03/2024,16:00,47.17,47.54,46.43,46.59,83906123,0
01/04/2024,16:00,45.87,46.97,45.73,45.81,71867708,0
01/05/2024,16:00,45.86,46.92,45.47,45.98,85240759,0
01/08/2024,16:00,46.39,48.90,46.33,48.75,67687074,0
01/09/2024,16:00,47.66,49.41,47.61,49.07,74215767,0
01/10/2024,16:00,49.17,50.41,48.84,50.04,73810511,0
01/11/2024,16:00,50.45,50.97,48.40,50.28,95114158,0
01/12/2024,16:00,50.67,50.98,49.84,50.34,64107040,0
01/16/2024,16:00,49.88,50.91,49.33,50.31,72937014,0
01/17/2024,16:00,49.07,49.59,47.87,49.44,83277288,0
01/18/2024,16:00,50.59,51.72,50.11,51.56,91070426,0
